,DiskUsage,TotalCpus,TotalMemory,TotalDisk,CpuCacheSize,TotalVirtualMemory,GLIDEIN_Job_Max_Time,TotalSlots,CpuIsBusy,SlotType,Failure,Site
83366,5162,128,248000,911383128,512,263689912,7200,32,1,0,0,SDSC-Expanse
83373,88521,128,248000,911383720,512,263689912,7200,32,1,0,0,SDSC-Expanse
83377,4048686,256,510000,1340088692,512,527683920,7200,65,1,0,0,NERSC-Perlmutter-CPU
83385,79508,128,248000,371398024,512,357231976,7200,31,0,0,0,Purdue-Anvil
83390,1288575,8,20240,1298842360,512,527524952,34800,8,1,0,1,CERN
83391,2174945,4,16000,699124020,36608,427947392,34800,5,1,0,1,London_QMUL
83395,2319187,48,192000,149631732,33792,196453608,7200,13,0,0,0,TACC-Stampede2
83396,1918217,2,8000,1349351488,512,795655460,34800,3,1,0,0,RAL
83401,1048576,64,122000,669996088,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83408,937012,56,192000,149550700,39424,196111708,7200,15,0,0,0,TACC-Frontera
83410,1686384,128,248000,371348348,512,357342312,7200,32,1,0,0,Purdue-Anvil
83412,221751,64,122000,669995324,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83417,755296,8,32768,6431027944,512,593279816,34800,9,1,0,1,Manchester
83418,3970540,56,192000,149544020,39424,196111716,7200,15,0,0,0,TACC-Frontera
83429,26176,128,248000,371392840,512,355928936,7200,32,0,0,0,Purdue-Anvil
83439,466105,4,8192,382004192,12288,51458764,34800,3,1,0,1,London
83450,63707,64,122000,669995232,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83460,1727875,56,192000,149546800,39424,196111704,7200,15,0,0,0,TACC-Frontera
83461,929734,56,192000,149543404,39424,196111708,7200,15,1,0,0,TACC-Frontera
83470,67058,64,122000,669995504,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83475,961828,8,20240,1382219720,22528,329514096,34800,9,1,0,1,CERN
83478,186410,4,10000,1692347876,14080,135675712,34800,5,1,0,1,CCIN2P3
83481,744199,8,20000,1009832072,35840,133908724,34800,5,1,0,1,Bristol
83483,1221322,4,30000,5796599344,512,500686908,34800,5,1,0,1,SURFsara
83484,37618,64,122000,669995916,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83491,2851271,128,248000,911383112,512,263689916,7200,32,0,0,0,SDSC-Expanse
83500,1907136,8,32768,6458582124,512,594766408,34800,9,1,0,1,Manchester
83501,396033,4,8000,2902153888,512,594193896,34800,2,1,0,0,NIKHEF
83504,188344,128,248000,371396440,512,356436068,7200,32,0,0,0,Purdue-Anvil
83508,853709,64,122000,669995564,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83518,597140,64,122000,669995404,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83523,1839485,8,20240,1349412624,512,527602324,34800,9,1,0,1,CERN
83530,74415,64,122000,669995268,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83531,715967,8,32768,14000918140,512,593809628,34800,4,1,0,1,Manchester
83548,430489,8,32768,6315587008,512,594184768,34800,9,1,0,1,Manchester
83549,32100,128,248000,911383156,512,263689912,7200,32,0,0,0,SDSC-Expanse
83550,6529977,64,122000,669995560,40960,131890088,7200,14,0,0,0,T3_US_NERSC
83555,60065,56,192000,149501708,39424,196111568,7200,15,1,0,0,TACC-Frontera
83571,2038954,8,20000,1023464252,35840,132410452,34800,9,1,0,1,Bristol
83572,2376512,2,8000,1714153544,22528,295839448,34800,3,1,0,0,RAL
83573,773372,48,192000,149583868,33792,196453676,7200,13,0,0,0,TACC-Stampede2
